type	action	issue	page	recipe
r	l	Feb	100	stewed apple with blueberries & yoghurt
r	l	Nov	34	the ultimate fruit meringue
C	c	ingredient:	 garlic
r	l	May	128	garlic & herb ricotta with grissini
r	l	Oct	155	garlic & mint chicken with cos salad
C	c	ingredient:	 ginger
r	l	Oct	74	beetroot & ginger soup
r	l	Oct	116	frozen rhubarb & ginger torte
r	l	Jun	34	ginger & saffron lamb cutlets
r	l	May	106	ginger tiramisu
r	l	Dec	60	kulfi brulee
r	l	Mar	76	lime & ginger creme brulee
r	l	Jun	62	stem ginger & dark muscovado puddings
C	c	ingredient:	 ham
r	l	Dec	108	Asian glazed ham
r	l	Dec	171	asparagus with leek & ham hollandaise
r	l	Jul	70	chicken, ham & pea pot pies
r	l	Jul	68	`French lasagne'
r	l	Dec	32	prosciutto & rocket forks
r	l	Dec	90	prosciutto, rocket & tomato pizza
r	l	Dec	108	prosciutto-wrapped scallops & prawns with basil & lemon
r	l	Oct	66	tomato jam
C	c	ingredient:	 kumara
r	l	Apr	116	baked kumara with coriander & paprika
r	l	Mar	100	chicken & kumara curry
r	l	Nov	88	kumara boxes with chorizo
r	l	Apr	108	ocean trout with kumara masoor dhal
r	l	Aug	110	spiced kumara dip with crisp flatbread
C	c	ingredient:	 lamb
r	l	Dec	140	braised lamb neck with cherry tomatoes, thyme & rosemary
r	l	Mar	86	chermoula lamb cutlets with dried-fruit couscous
r	l	Apr	80	daube of lamb with pappardelle
r	l	Jun	34	ginger & saffron lamb cutlets
r	l	Aug	76	Greek lamb with crispy potatoes
r	l	Dec	92	Greek lamb with watermelon salad
r	l	Aug	86	Hawke's Bay lamb rump with cannellini beans and salsa verde
r	l	Mar	49	kofta tagine
r	l	Aug	112	lamb & cumin kebabs
r	l	Jun	106	lamb & potato curry
r	l	Feb	140	lamb & snow-pea stir-fry
r	l	Sep	143	lamb cutlets with chilli chickpeas & spinach
r	l	Sep	86	lamb cutlets with lentil & fried-onion rice
r	l	Aug	127	lamb, green bean & mint stir-fry
r	l	Sep	106	lamb tagliata with oven-roasted tomatoes
r	l	Dec	194	Lebanese lamb pita crisps
r	l	Oct	162	lemon & oregano lamb with cucumber & yoghurt salad
r	l	Jun	58	Moroccan-spiced lamb shanks with preserved lemon, prunes & saffron
r	l	Jun	140	peppered lamb fillets on winter salad
r	l	Apr	72	pistachio-crusted lamb racks
r	l	Oct	25	quick lamb cutlets with mixed greens
r	l	Dec	164	roast lamb with figs, rocket & hazelnut picada
r	l	Nov	74	roasted lamb loin with petit pois à la française
r	l	Jul	118	slow-cooked lamb, red wine & root vegetables
r	l	Apr	102	spiced lamb & chickpea salad
C	c	ingredient:	 leek
r	l	Dec	171	asparagus with leek & ham hollandaise
r	l	Dec	162	leeks vinaigrette with eggs mimosa, capers and olives
r	l	Mar	39	sweet leek, ricotta & tomato lasagne
C	c	ingredient:	 lemon
r	l	Dec	148	citron pressé
r	l	Dec	133	cranberry & lemon meringue pies
r	l	Feb	120	creamy lemon curd mousse
r	l	Jul	77	broccolini with mozzarella, cured lemon and anchovies
r	l	Feb	76	lemon & basil spaghetti
r	l	May	136	lemon & mascarpone sorbetto
r	l	Oct	162	lemon & oregano lamb with cucumber & yoghurt salad
r	l	Nov	204	lemon & saffron turkey breast with spiced basmati
r	l	Jun	138	lemon & sumac fish with spiced eggplant
r	l	Oct	138	lemon crepes
r	l	Sep	12	lemon salmon pasta with herbed creme fraiche
r	l	May	136	limoncello meringue pies
r	l	Jun	94	little lemon, almond & polenta cakes
r	l	Jun	144	Meyer lemon posset
r	l	Feb	100	rosewater lemonade
r	l	Apr	110	salted lemon pickle
r	l	Dec	158	strawberry lemonade
C	c	ingredient:	 lentil
r	l	Mar	88	lentil & cauliflower pilaf
r	l	Jul	88	lentil & vegetable cottage pie
r	l	Mar	143	pan-fried chicken on lentils with pesto
r	l	Jul	98	red lentil & spicy sausage stew
C	c	ingredient:	 lime
r	l	Nov	46	easy lime tart
r	l	Mar	76	lime & ginger creme brulee
r	l	Sep	98	lime panna cottas
C	c	ingredient:	 mushroom
r	l	Jun	68	chestnut mushroom risotto
r	l	Dec	181	chicken & mushroom terrine with chenin blanc jelly
r	l	Jun	70	grilled portobellos with mascarpone, stilton and basil
r	l	Apr	88	mushroom & tomato frittata
r	l	Jul	33	pan-fried ricotta gnocchi with mushroom ragu
r	l	May	175	spring onion crespelle (crepes) with bacon & mushroom ragu
r	l	Aug	46	steamed fish with fresh shiitakes & ginger
r	l	Mar	76	sugar snap pea, roasted shiitake & black bean salad
r	l	Aug	137	warm mushroom salad with ricotta and witlof
r	l	Jun	68	wild mushroom soup with madeira
C	c	ingredient:	 noodles
r	l	Jul	145	broccoli chilli noodles with grilled salmon
r	l	Apr	86	chilli chicken noodles with peanuts
r	l	Aug	124	fragrant coconut noodles & prawns
r	l	Oct	126	glass noodles with chicken, lime & mint
r	l	Dec	206	hawker-style stir-fried noodles
r	l	Sep	146	Japanese noodles with smoked ocean trout
r	l	Sep	111	pad Thai
r	l	Jun	126	spicy beef noodles
r	l	Oct	96	wakame coriander sauce, pancetta & soba
C	c	ingredient:	 nuts
r	l	Oct	70	almond tuiles
r	l	Jul	64	carrot & walnut puddings
r	l	Dec	204	chicken satay skewers
r	l	Oct	110	date, pecan & sesame bars
r	l	Sep	150	gluten-free nut biscuits
r	l	Dec	204	peanut sauce
r	l	Jul	39	pecan, honey & caramel slice
r	l	Apr	112	pistachio & orange kulfi
r	l	May	115	pistachio biscotti
r	l	Apr	72	pistachio-crusted lamb racks
r	l	Aug	40	quick pecan, olive & buttermilk bread
r	l	Dec	140	torta di noci (walnut cake) with Montenegro Amaro, candied orange and mascarpone
C	c	ingredient:	 onion
r	l	May	130	calf's liver with balsamic onions
r	l	Apr	30	caramelised onions
r	l	May	124	cotechino with onion jam
r	l	Aug	118	French onion soup
r	l	Nov	114	mini tartes Tatins of caramelised red onion and goat's cheese
r	l	Apr	119	onion & asiago tart
r	l	May	174	onion, ricotta & sage omelette
C	c	ingredient:	 orange
r	l	Jun	85	blood orange, fennel & smoked bacon salad
r	l	Aug	104	blood oranges with rhubarb sorbet
r	l	Dec	128	clove & orange jellies with Cointreau cream
r	l	Dec	32	duck with orange & watercress forks
r	l	Dec	59	mini flourless orange & cardamom cakes
r	l	Apr	46	orange chocolate terrine
r	l	Oct	118	orange ice cream with pistachio toffee
r	l	Sep	64	orange marmalade yoghurt cake
r	l	Jul	61	organic roast chicken with oranges and winter herbs
r	l	Apr	112	pistachio & orange kulfi
r	l	Oct	81	pork cutlet with orange and harissa
r	l	May	140	ricotta & orange tart
C	c	ingredient:	 parsnip
r	l	Jul	140	curried parsnip soup
r	l	May	173	roast parsnip, pancetta, walnut & artichoke salad
r	l	Aug	70	roasted baby parsnips
r	l	Jul	64	roasted parsnips
C	c	ingredient:	 passionfruit
r	l	Feb	70	banana & passionfruit smoothie
r	l	Sep	98	passionfruit caramel strawberries
r	l	Dec	100	passionfruit, lychee & mango salad
r	l	Nov	116	passionfruit parfait
C	c	ingredient:	 pasta
r	l	May	34	baked pasta with tomatoes & bocconcini
r	l	Oct	136	basic pasta dough
r	l	May	36	broccoli & anchovy orecchiette
r	l	Jul	84	cheesy spaghetti with bacon & peas
r	l	Sep	141	conchiglioni with chicken, artichokes and watercress
r	l	Apr	80	daube of lamb with pappardelle
r	l	May	88	farfalle with marinated artichokes
r	l	Jul	74	farfalle with smoked salmon, vodka and thyme
r	l	Nov	29	summertime tagliarini
r	l	Mar	39	sweet leek, ricotta & tomato lasagne
r	l	May	40	tomato macaroni cheese
r	l	Jul	142	tortellini with bacon, tomato, chilli and baby spinach
r	l	Dec	124	turkey & goat's cheese pasta salad with tomato & ginger dressing
r	l	Dec	122	turkey carbonara
r	l	May	104	white lasagne with chicken & morels
r	l	May	42	working girl's pasta
r	l	Oct	92	berry & yoghurt meringues
r	l	Dec	129	festive dacquoise with Baileys cream
r	l	Feb	64	hazelnut meringue cake with choc-cinnamon mousse
r	l	Dec	186	kiwi fruit mess
r	l	Nov	34	the ultimate fruit meringue
C	c	ingredient:	 pea
r	l	Mar	92	chicken petits pois à la française (chicken with French-style baby peas)
r	l	Feb	139	cumin chicken with sugar snap peas & yoghurt sauce
r	l	Mar	120	fish saltimbocca with mashed peas
r	l	Feb	140	lamb & snow-pea stir-fry
r	l	Jun	92	oven-baked pea, pancetta & mint risotto
r	l	Apr	86	pea & haloumi fritters
r	l	Feb	118	pea, pancetta & soft cheese tart
r	l	May	74	peas and artichokes braised in olive oil and garlic
r	l	Nov	126	peas & beans with pistachio pesto
r	l	Jul	138	split pea, watercress & goat's curd salad
r	l	Mar	76	sugar snap pea, roasted shiitake & black bean salad
C	c	ingredient:	 peaches
r	l	Feb	50	baked peaches with amaretti biscuits
r	l	Dec	102	peach chutney with ham
r	l	Dec	97	peaches in Frangelico with semifreddo
r	l	Mar	112	poached peaches with oat-buttermilk pancakes
C	c	ingredient:	 pear
r	l	May	74	goat's-cheese-stuffed roasted pears with honey dressing
r	l	Jun	108	pear puff-pastry tart with a rich red-wine glaze
r	l	Jul	42	pear tarte Tatin
r	l	May	114	vanilla-poached pears
C	c	ingredient:	 pesto
r	l	Dec	171	anchovy & pesto cigars
r	l	Jul	120	Genovese beef with pesto sauce
r	l	Apr	90	pesto, bacon & pine nut gnocchi
r	l	Feb	74	pesto soup with zucchini and potato
r	l	Aug	76	poached chicken with pesto
r	l	Sep	84	prawn linguine with pea pesto
C	c	category:	pies and pastries
r	l	Jun	9	apple & berry pie with proper custard
r	l	Jun	119	chicken b'stilla roll
r	l	Jul	70	chicken, ham & pea pot pies
r	l	Jun	116	Chinese chicken pies
r	l	Apr	40	classic Cornish steak pasties
r	l	Dec	133	cranberry & lemon meringue pies
r	l	Mar	53	egg & bacon pie
r	l	Sep	74	fish pies
r	l	Jun	118	Greek egg & feta pies
r	l	Jul	88	lentil & vegetable cottage pie
r	l	Jun	120	little sausage & mash pies
r	l	May	136	limoncello meringue pies
r	l	Jun	116	ratatouille pie
r	l	Jul	84	sausage pasty
r	l	Jun	36	smoked fish & mashed potato pie
r	l	Jul	36	steak, Guinness & Stilton pie
r	l	Jul	79	sweet pastry
r	l	Jun	120	sweet pumpkin pie
r	l	Aug	76	three-cheese pumpkin pie
r	l	Sep	84	vegetable samosa pies
C	c	ingredient:	 pizza
r	l	May	74	caramelised pumpkin pizza
r	l	Feb	78	fig & goat's cheese pizzas
r	l	May	112	pizza bianca
r	l	May	111	pizza dough
r	l	May	111	pizza dough
r	l	Oct	90	basic polenta
r	l	Dec	90	prosciutto, rocket & tomato pizza
r	l	Oct	82	roasted vegetable & feta pizza
r	l	Oct	149	salmon, ricotta & pesto pizzette
r	l	May	97	schiacciate (little Tuscan pizzas)
r	l	Sep	88	spicy peperoni pizza
r	l	Feb	100	wholemeal flat-bread pizza with tomato, goat's cheese & capsicum
C	c	ingredient:	 polenta
r	l	Oct	90	basic polenta
r	l	May	22	grilled polenta
r	l	Oct	88	polenta gnocchi
r	l	Oct	90	basic polenta
r	l	Jun	40	seared scallops with blue cheese polenta, shiitakes and truffle oil
r	l	May	130	soft polenta
r	l	Feb	90	pollo orvieto
C	c	ingredient:	 pork
r	l	Dec	40	Bangalow Sweet Pork salad with coriander & pine nuts
r	l	Jul	112	braised pork belly with sauce soubise
r	l	Aug	86	chicken & pork terrine with pickled cherries, watercress and cornichons
r	l	Nov	196	chilli-rubbed pork with pawpaw & basil salsa
r	l	Aug	42	Penang pork belly braised with cinnamon, star anise & cloves
r	l	Dec	93	pinchitos (little pork skewers) with parsley & almond salad
r	l	Jul	118	pork & eggplant curry
r	l	Jul	31	pork chops with prosciutto, apple and Stilton
r	l	Oct	81	pork cutlet with orange and harissa
r	l	Jun	137	pork cutlets with roasted fennel and apple
r	l	Mar	84	pork fillet with cherry sauce
r	l	May	130	pork scappati
r	l	Aug	142	pork tikka masala
r	l	Sep	138	pork with beurre meunière & mushrooms
r	l	May	88	pork with strawberry balsamic sauce
r	l	Jul	64	rack of pork with cider apples
r	l	Apr	88	roast pork fillet with mascarpone sauce
r	l	Sep	139	soy-glazed pork fillet with crunchy noodle salad
r	l	Feb	105	spiced honey roast pork with apple & mustard salad
r	l	Feb	82	summer meatballs
C	c	ingredient:	 potato
r	l	Sep	120	baked chat potatoes on a bed of salt
r	l	Dec	33	baked potato skins with gorgonzola, rocket & mustard fruit
r	l	Aug	76	Greek lamb with crispy potatoes
r	l	Apr	74	hasselback potatoes with bay leaves
r	l	Nov	28	Jamie's amazing potato & horseradish salad with fine herbs & bresaola
r	l	Jun	74	maple snags with mustard mash
r	l	Dec	49	mustard fruit
r	l	Jun	99	nachos-style baked potato skins
r	l	Feb	70	open omelette of potato & chives with smoked salmon & creme fraiche
r	l	Jul	92	potato & celeriac soup with herb creme fraiche
r	l	Apr	116	potato gratin
r	l	Apr	109	potato & green chilli masala
r	l	Oct	70	potato & parsley wafers
r	l	Mar	118	red mullet with patatas bravas
r	l	Jul	76	roasted potatoes with milk, rosemary & garlic
r	l	Dec	120	smoked salmon & potato cakes with fennel salad
r	l	Aug	66	tartiflette (cheese & potato bake)
r	l	May	78	Tuscan chips
C	c	category:	poultry
r	l	Nov	150	Asian-style duck with cucumber & radish salad
r	l	Sep	112	barbecued duck salad
r	l	Jun	86	braised duck ragu
r	l	Mar	72	Chinese duck & plum salad
r	l	Jul	88	duck & shiitake risotto
r	l	Mar	110	duck breast with sour cherries
r	l	Jul	96	duck cassoulet
r	l	Apr	80	duck eggs en cocotte with truffle
r	l	Dec	146	duck rillettes
r	l	Dec	32	duck with orange & watercress forks
r	l	Jul	60	duck with spiced red-wine sauce and braised cabbage
r	l	May	113	garlic & pancetta roast spatchcock
r	l	May	74	hunter-style quail
r	l	Jul	25	jurassic quail with baby beetroot & radicchio salad
r	l	Nov	204	lemon & saffron turkey breast with spiced basmati
r	l	Nov	30	perfectly cooked crispy duck with spiced plum chutney
r	l	Dec	216	rice salad with turkey, celery & grapes
r	l	Dec	192	roast duck & sour cherry salad on croutons
r	l	Jun	57	roast duck with star anise & orange sauce
r	l	Dec	138	roast quail with pancetta, tomato & garlic on vine leaves
r	l	Dec	62	Tobie's Christmas turkey
r	l	Dec	122	turkey carbonara
r	l	Dec	124	turkey & goat's cheese pasta salad with tomato & ginger dressing
r	l	Dec	120	turkey & harissa soup
r	l	Dec	110	turkey with hoisin glaze
r	l	Nov	98	warm salad of pheasant breast with sherry vinegar & walnut-oil dressing
C	c	ingredient:	 pumpkin
r	l	Aug	92	aromatic pumpkin & chickpea hotpot
r	l	Sep	71	butternut pumpkin squashed with mushrooms
r	l	May	74	caramelised pumpkin pizza
r	l	May	92	pumpkin & goat's cheese risotto
r	l	Mar	86	pumpkin laksa
r	l	May	46	pumpkin & mostarda tart
r	l	Aug	94	pumpkin pancakes with sticky maple pecans
r	l	Aug	92	roast pumpkin, radicchio & feta salad
r	l	Mar	80	spiced pumpkin chutney
r	l	Jun	120	sweet pumpkin pie
r	l	Aug	76	three-cheese pumpkin pie
r	l	Jun	74	warm pumpkin & goat's cheese salad
r	l	Jul	64	whole baked pumpkin
C	c	ingredient:	 quinoa
r	l	Jun	143	Indian-spiced quinoa with chicken
r	l	Oct	110	quinoa pudding with cranberry compote
r	l	Oct	126	steamed ocean trout with spiced quinoa
C	c	ingredient:	 radicchio
r	l	Sep	88	chicken paillards with radicchio slaw
r	l	Apr	103	crisp-skinned John Dory with roasted radicchio & oyster mushrooms
r	l	May	113	radicchio, apple & walnut salad
r	l	Aug	92	roast pumpkin, radicchio & feta salad
C	c	ingredient:	 ratatouille
r	l	Mar	74	Asian ratatouille
r	l	Aug	100	barramundi braised with ratatouille
r	l	Jun	116	ratatouille pie
r	l	Feb	136	cannellini & artichoke dip
r	l	Feb	32	easy cucumber mustard pickles
r	l	Dec	146	pickled cherry compote
r	l	Mar	80	pickled fennel St Clements
r	l	Apr	112	quick relish
r	l	Sep	94	roast capsicum & chickpea dip
r	l	Apr	110	salted lemon pickle
r	l	Aug	37	sausages with leek mash & pan-cooked chutney
r	l	Aug	110	spiced kumara dip with crisp flatbread
r	l	Mar	80	spiced pumpkin chutney
r	l	Mar	96	sweet cucumber relish
C	c	ingredient:	 rhubarb
r	l	Aug	104	blood oranges with rhubarb sorbet
r	l	Jul	65	French toast with baked rhubarb
r	l	Oct	116	frozen rhubarb & ginger torte
r	l	Jul	105	rhubarb & strawberry pudding
C	c	ingredient:	 rice
r	l	Mar	29	arroz de marisco (Portuguese seafood risotto)
r	l	Nov	122	artichoke arancini
r	l	Oct	74	brown rice & seaweed salad
r	l	Apr	112	carrot & coriander pilaf
r	l	Jun	68	chestnut mushroom risotto
r	l	Mar	100	coconut rice
r	l	Jul	88	duck & shiitake risotto
r	l	Feb	74	easy paella
r	l	Sep	96	herbed rice
r	l	Oct	97	Japanese-style risotto
r	l	Sep	86	lamb cutlets with lentil & fried-onion rice
r	l	Mar	88	lentil & cauliflower pilaf
r	l	Oct	68	lobster risotto
r	l	Jun	92	oven-baked pea, pancetta & mint risotto
r	l	Nov	158	paella
r	l	Jun	108	pilau
r	l	Feb	106	poached chicken & citrus rice salad
r	l	May	92	pumpkin & goat's cheese risotto
r	l	Dec	216	rice salad with turkey, celery & grapes
r	l	May	148	riso con gli `angeli' (Sicilian rice with `angels')
r	l	May	171	riso verde (green rice)
r	l	May	98	risotto di salsicce al finocchio (fennel sausage risotto)
r	l	Feb	88	risotto with prawns, peas, vermouth and basil
r	l	Dec	91	saffron risotto with prawns & squid
r	l	Aug	86	salmon fillet with beetroot risotto and fresh horseradish cream
r	l	Oct	82	smoked chicken & wild rice salad
r	l	Oct	81	tikka prawns with yoghurt pilaf
r	l	May	132	torta di riso (rice cake with lemon & almonds)
r	l	Aug	76	tuna pilau
C	c	category:	salads
r	l	Mar	100	asparagus & grapefruit salad with cashews and mint
r	l	Sep	119	asparagus, egg & anchovy salad
r	l	Sep	142	avocado, prawn & silverbeet salad with toasted rye bread
r	l	Oct	128	avocado, pumpkin seed & spinach salad
r	l	Nov	126	baby spinach, orange & macadamia salad
r	l	Feb	142	balsamic beef & glass noodle salad with rocket and parmesan
r	l	Dec	40	Bangalow Sweet Pork salad with coriander & pine nuts
r	l	Apr	145	barbecued corn with tomato & almond salad
r	l	Sep	112	barbecued duck salad
r	l	Oct	88	base salad
r	l	Dec	124	beef & beet salad
r	l	Oct	128	beetroot, carrot & chickpea salad
r	l	Oct	25	beetroot, red apple & watercress salad
r	l	Mar	86	best steak salad
r	l	Dec	146	bistro salad
r	l	Aug	66	bitter leaf salad
r	l	Jun	85	blood orange, fennel & smoked bacon salad
r	l	Oct	74	brown rice & seaweed salad
r	l	Oct	160	burghul, tomato & bean salad in lettuce cups
r	l	Mar	76	sugar snap pea, roasted shiitake & black bean salad
r	l	Sep	96	taco salad with sour cream dressing
r	l	Oct	133	Thai cucumber, coriander & peanut salad
r	l	Apr	142	Thai-style smoked trout salad
r	l	Jul	98	three-bean salad
r	l	Feb	120	tomato & sweet pickled pepper salad
r	l	Sep	140	tuna, broccolini & cauliflower salad with pine nut & anchovy salsa
r	l	Dec	124	turkey & goat's cheese pasta salad with tomato & ginger dressing
r	l	Aug	137	warm mushroom salad with ricotta and witlof
r	l	Jun	74	warm pumpkin & goat's cheese salad
r	l	Apr	138	warm risoni, chickpea & kumara salad
r	l	Nov	98	warm salad of pheasant breast with sherry vinegar & walnut-oil dressing
r	l	Oct	41	warm smoked-chicken salad
r	l	Jun	91	warm soy sesame chicken, snow pea & broccolini salad
r	l	Jun	106	witlof & watercress salad
r	l	Apr	120	witlof, celery & blue cheese salad
C	c	category:	sandwiches, rolls and toast
r	l	Jun	99	basil & feta red-hots
r	l	Feb	31	bruschetta with mozzarella & asparagus
r	l	Sep	119	chargrilled bread with olive butter
r	l	Feb	100	chicken & avocado sandwich
r	l	Nov	63	chicken & mayo finger sandwiches
r	l	Dec	234	chilli & basil quesadillas
r	l	Oct	38	crab bruschetta with herb salad
r	l	Sep	71	felafel burgers
r	l	Jul	65	French toast with baked rhubarb
r	l	Nov	156	haloumi open sandwich
r	l	Oct	42	Middle-Eastern chickpea burgers with herb yoghurt
r	l	Apr	42	Padstow deli crab sandwich with parsley, chilli, lemon and rocket
r	l	Apr	76	salmon rillettes with bagel toasts
r	l	Mar	72	sesame prawn toasts
r	l	Mar	110	tomato bruschetta
r	l	Feb	110	tuna & olive tapenade toasts
r	l	Dec	146	tuna pan bagnat
r	l	May	92	Tuscan burgers
r	l	Jun	26	Welsh rarebit with leeks
C	c	ingredient:	 sausage
r	l	Feb	76	barbecued frankfurts with coleslaw
r	l	Jun	99	basil & feta red-hots
r	l	Feb	112	cevapcici (Croatian spiced sausages)
r	l	Feb	138	chicken sausages with nectarines, chickpeas & redcurrant sauce
r	l	May	124	cotechino with onion jam
r	l	Mar	116	lime & chilli seafood sausage on green papaya salad
r	l	Jun	120	little sausage & mash pies
r	l	Jun	74	maple snags with mustard mash
r	l	Jul	98	red lentil & spicy sausage stew
r	l	May	98	risotto di salsicce al finocchio (fennel sausage risotto)
r	l	May	38	sausage carbonara
r	l	Jul	84	sausage pasty
r	l	Nov	146	sausage, pea & feta salad
r	l	Aug	37	sausages with leek mash & pan-cooked chutney
r	l	Mar	42	sausages with real baked beans
r	l	Dec	122	stuffing burgers
C	c	category:	seafood
r	l	Mar	29	arroz de marisco (Portuguese seafood risotto)
r	l	Sep	142	avocado, prawn & silverbeet salad with toasted rye bread
r	l	Oct	97	baby squid tempura
r	l	Jun	31	baked avocado with prawns & cheddar
r	l	Dec	184	baked mussels provençale
r	l	Feb	64	barbecued seafood skewers with romesco sauce
r	l	Oct	38	crab bruschetta with herb salad
r	l	Nov	170	crab salad with nam jim & mixed cress
r	l	Feb	60	crisp squid with saffron & green apple allioli
r	l	Jul	112	flash-fried cuttlefish with sumac
r	l	Aug	124	fragrant coconut noodles & prawns
r	l	Mar	110	grilled squid with parsley & caperberry salad
r	l	Apr	139	hoisin eggplant, prawn & bok choy stir-fry
r	l	Jul	92	hot & sour prawn soup
r	l	Jul	110	king prawn ravioli with sauce vierge
r	l	Mar	116	lime & chilli seafood sausage on green papaya salad
r	l	Mar	120	little prawn soups
r	l	Nov	88	lobster & spring vegetable lasagne with lemon sauce
r	l	Oct	68	lobster risotto
r	l	Dec	89	Mediterranean seafood tarts with aioli
r	l	Feb	112	mixed seafood grill with tomato vinaigrette
r	l	Mar	92	moules marinières (mussels with white wine and herbs)
r	l	Sep	90	mussel & bean soup
r	l	Nov	96	mussel, leek & saffron soup
r	l	Apr	50	nori-wrapped tempura prawns with cucumber & wakame salad
r	l	May	38	open lasagne of sweet tomatoes, squid, mussels, farro & olives
r	l	Feb	62	oysters with cava dressing
r	l	Sep	111	oysters with lemongrass dressing
r	l	Apr	42	Padstow deli crab sandwich with parsley, chilli, lemon and rocket
r	l	Nov	125	pancetta-wrapped barbecue prawns
r	l	Nov	32	pan-fried scallops with lentils, crispy pancetta and lemon creme fraiche
r	l	May	128	pasta mare e montagna
r	l	Oct	66	prawn & avocado lettuce cups
r	l	May	106	prawn & cannellini bean salad
r	l	Feb	128	prawn ceviche
r	l	Nov	202	prawn, lemon & grilled zucchini salad
r	l	Sep	84	prawn linguine with pea pesto
r	l	Dec	111	prawn, mango & caramelised walnut salad
r	l	Sep	104	prawns and green beans with lemon & dill butter
r	l	Dec	108	prosciutto-wrapped scallops & prawns with basil & lemon
r	l	Dec	94	Provençale prawn soup
r	l	Sep	25	quick stewed squid with tomatoes
r	l	Aug	80	red prawn curry
r	l	May	148	riso con gli `angeli' (Sicilian rice with `angels')
r	l	Feb	88	risotto with prawns, peas, vermouth and basil
r	l	Dec	172	rock lobster & mango salad
r	l	Dec	91	saffron risotto with prawns & squid
r	l	Nov	71	salt & pepper yabby tails
r	l	Dec	202	sambal udang (spicy prawns)
r	l	Dec	108	sashimi oysters
r	l	Mar	96	satay prawns with cucumber & pineapple
r	l	Oct	98	scallop sashimi to dive for
r	l	Aug	100	scallops seared in the half shell, with fennel salsa
r	l	Nov	100	scampi baked on rock salt with black-pepper butter
r	l	Jun	104	seafood tempura
r	l	Jun	40	seared scallops with blue cheese polenta, shiitakes and truffle oil
r	l	Mar	72	sesame prawn toasts
r	l	May	36	spaghetti with prawns & rocket
r	l	Feb	118	spiced & buttered crab
r	l	Oct	154	squid, basil & chilli noodle stir-fry
r	l	Sep	104	steak kilpatrick
r	l	Apr	102	steamed vongole with garlic, chilli, parsley & olive oil
r	l	Jun	59	sweet & sour chilli prawns
r	l	Nov	114	tiger prawn salad with mango & avocado
r	l	Oct	81	tikka prawns with yoghurt pilaf
r	l	Dec	176	sherry trifle semifreddo
r	l	Jul	60	baked beetroot & apple soup
r	l	Jul	94	broccoli & gruyere soup with garlic cheese toasts
r	l	Apr	120	cauliflower soup
r	l	Jul	122	chicken paprika
r	l	Jul	122	chickpea, fish & olive stew
r	l	Feb	127	chilled avocado & coconut soup
r	l	Dec	144	chilled tomato soup
r	l	Apr	144	corn soup with chive oil
r	l	Mar	38	cup of garden soup
r	l	Jul	140	curried parsnip soup
r	l	Jul	96	duck cassoulet
r	l	Jun	141	four-bean soup with barley
r	l	Jul	94	fragrant Vietnamese beef noodle soup
r	l	Aug	118	French onion soup
r	l	Sep	94	guacamole soup
r	l	Jul	92	hot & sour prawn soup
r	l	Apr	42	John Dory chowder with mussels and cider
r	l	Nov	108	lettuce soup & cucumber croutons
r	l	Mar	120	little prawn soups
r	l	May	53	minestrone
r	l	Aug	24	Moroccan chickpea soup
r	l	Nov	156	Moroccan fish stew
r	l	Sep	90	mussel & bean soup
r	l	Nov	96	mussel, leek & saffron soup
r	l	Feb	74	pesto soup with zucchini and potato
r	l	Aug	116	pot-au-feu
r	l	Jul	92	potato & celeriac soup with herb creme fraiche
r	l	Dec	94	Provençale prawn soup
r	l	Mar	86	pumpkin laksa
r	l	Jul	98	red lentil & spicy sausage stew
r	l	Jul	92	spicy tomato soup
r	l	Sep	86	spring minestrone
r	l	May	90	tomato & chickpea soup with gremolata toasts
r	l	Dec	120	turkey & harissa soup
r	l	Jun	68	wild mushroom soup with madeira
r	l	Jun	82	winter vegetable & chicken broth
C	c	ingredient:	 soy
r	l	Sep	102	marinated fish with soy jelly & cress
r	l	Oct	102	power lunch with edamame, wakame and tuna
r	l	Oct	116	soy & maple creams
r	l	Dec	208	spelt pasta with tuna, spinach, chilli and lemon
C	c	ingredient:	 spinach
r	l	Nov	126	baby spinach, orange & macadamia salad
r	l	Aug	38	spinach & goat's curd tarts with poached eggs & pine nut dressing
r	l	Jun	100	three-cheese & spinach roll-ups
C	c	ingredient:	 strawberry
r	l	Feb	82	balsamic strawberry pavlova
r	l	Dec	158	double-strawberry sauce
r	l	Dec	157	mini strawberry custard tarts
r	l	Sep	98	passionfruit caramel strawberries
r	l	May	88	pork with strawberry balsamic sauce
r	l	Jul	105	rhubarb & strawberry pudding
r	l	Oct	66	sparkling strawberry cocktails
r	l	Dec	157	strawberry frozen yoghurt wafers
r	l	Nov	172	strawberry granita
r	l	Dec	158	strawberry lemonade
r	l	Feb	36	strawberry & raspberry jelly with rosewater cream
r	l	Dec	157	strawberry & ricotta cannoli
r	l	Sep	80	strawberry sour cream streusel cake
r	l	Dec	158	strawberry & vanilla friands
C	c	category:	tarts and flans
r	l	Jun	63	caramelised pecan tart with bourbon ice cream
r	l	Jul	78	chocolate & olive oil tart
r	l	Mar	93	chocolate tart
r	l	Nov	134	chocolate truffle tarts
r	l	Nov	46	easy lime tart
r	l	Dec	120	fig & three-cheese tart
r	l	Apr	44	fig tart with caramel sauce
r	l	Sep	120	fresh date & almond tart
r	l	Nov	100	fresh raspberry tart in coconut & hazelnut pastry
